,NO,NO2,AirTemp,Press,UMR,O3,PM10
268,1.86,15.42,-0.1,965.0,81.0,33.74,30.52
269,2.24,14.43,0.1,965.0,80.3,33.74,30.52
270,2.4,13.52,0.4,965.0,80.9,33.74,30.52
271,4.45,20.93,0.6,965.0,82.4,33.74,30.52
272,6.46,30.16,0.8,965.0,84.1,33.74,30.52
273,5.82,24.31,1.2,966.0,84.4,33.74,30.52
274,6.13,22.63,1.7,966.0,82.5,33.74,30.52
275,7.38,22.56,2.5,966.0,79.4,33.74,30.52
276,6.24,18.26,2.5,965.0,80.1,33.74,30.52
277,6.0,15.91,2.8,964.0,78.9,33.74,30.52
278,6.6,17.84,3.1,964.0,77.5,33.74,30.52
279,5.18,15.5,2.3,964.0,80.8,33.74,30.52
280,5.01,20.59,1.7,964.0,83.0,33.74,30.52
281,4.61,26.17,1.3,964.0,85.0,33.74,30.52
282,10.4,43.47,1.2,963.0,84.3,33.74,30.52
283,6.27,39.03,0.9,963.0,82.6,33.74,30.52
284,6.35,45.25,0.4,962.0,81.2,33.74,30.52
285,3.6,26.67,0.3,962.0,79.0,33.74,30.52
286,12.94,36.5,0.1,961.0,79.5,33.74,30.52
287,67.64,64.76,-1.2,960.0,86.9,33.74,30.52
288,13.8,47.16,-2.1,959.0,89.0,35.66,41.77
289,11.31,36.99,-2.6,958.0,90.7,35.66,41.77
291,8.54,41.83,-3.0,957.0,93.4,35.66,41.77
292,2.92,32.15,-3.2,956.0,94.4,35.66,41.77
293,3.31,37.01,-3.2,956.0,94.8,35.66,41.77
294,4.25,36.1,-3.4,955.0,94.6,35.66,41.77
295,9.11,41.32,-3.8,955.0,95.2,35.66,41.77
296,40.23,54.91,-3.3,955.0,95.3,35.66,41.77
297,67.11,65.74,-2.1,955.0,93.0,35.66,41.77
298,61.26,60.88,-0.2,955.0,81.0,35.66,41.77
299,79.85,78.68,2.7,955.0,68.7,35.66,41.77
300,58.9,95.4,6.6,954.0,53.5,35.66,41.77
301,18.06,45.4,8.5,953.0,47.7,35.66,41.77
302,5.55,15.99,8.3,952.0,46.7,35.66,41.77
303,5.41,22.06,5.1,952.0,59.9,35.66,41.77
304,5.71,36.71,4.1,952.0,65.8,35.66,41.77
305,5.15,34.23,3.3,952.0,70.7,35.66,41.77
306,4.69,25.89,3.1,952.0,72.6,35.66,41.77
307,3.83,19.5,2.3,953.0,77.3,35.66,41.77
308,2.8,15.95,1.9,953.0,70.8,35.66,41.77
309,2.73,12.26,1.7,953.0,67.5,35.66,41.77
310,2.18,11.13,1.6,953.0,64.7,35.66,41.77
311,2.12,7.65,1.5,952.0,64.9,35.66,41.77
312,1.73,7.28,1.4,952.0,66.5,62.16,12.29
313,1.57,5.2,1.2,952.0,67.6,62.16,12.29
315,1.3,4.25,0.1,952.0,82.8,62.16,12.29
316,2.03,5.15,0.5,952.0,75.1,62.16,12.29
317,1.77,5.31,0.4,952.0,75.5,62.16,12.29
318,2.14,6.77,0.2,951.0,72.9,62.16,12.29
319,2.48,9.74,0.3,951.0,69.3,62.16,12.29
320,2.79,8.59,-0.2,952.0,71.7,62.16,12.29
321,3.63,10.72,0.1,952.0,70.5,62.16,12.29
322,4.81,11.99,0.4,952.0,67.0,62.16,12.29
323,4.76,9.12,1.0,952.0,60.3,62.16,12.29
324,4.85,11.55,0.4,951.0,63.4,62.16,12.29
325,5.03,13.07,0.2,951.0,64.0,62.16,12.29
326,5.03,9.96,0.3,951.0,59.3,62.16,12.29
327,4.7,14.87,0.7,951.0,55.8,62.16,12.29
328,4.25,22.17,0.0,951.0,62.6,62.16,12.29
329,3.3,18.48,-0.1,951.0,63.0,62.16,12.29
330,3.88,14.87,-0.7,952.0,65.7,62.16,12.29
331,4.11,13.76,-0.9,952.0,65.4,62.16,12.29
332,3.47,9.98,-1.3,952.0,64.6,62.16,12.29
333,2.92,8.62,-1.2,952.0,64.5,62.16,12.29
334,3.3,7.44,-1.0,952.0,64.4,62.16,12.29
335,3.38,6.43,-1.3,952.0,69.7,62.16,12.29
336,3.48,3.46,-1.3,952.0,64.9,62.6,13.09
337,2.77,2.11,-1.6,952.0,65.6,62.6,13.09
339,2.75,2.02,-1.6,951.0,64.0,62.6,13.09
340,2.84,1.73,-1.9,951.0,66.5,62.6,13.09
341,3.04,1.78,-2.1,951.0,68.7,62.6,13.09
342,2.77,4.01,-2.1,950.0,65.9,62.6,13.09
343,2.83,3.64,-2.2,951.0,65.2,62.6,13.09
344,3.77,5.35,-2.1,951.0,65.5,62.6,13.09
345,4.37,4.75,-0.9,951.0,62.9,62.6,13.09
346,4.67,4.58,-0.8,951.0,62.2,62.6,13.09
347,5.44,5.96,-0.8,951.0,66.9,62.6,13.09
348,5.23,5.7,-0.9,950.0,62.3,62.6,13.09
349,5.91,6.6,-0.6,950.0,59.4,62.6,13.09
